w,ex,em
302,0.8529,
303,0.8502,
304,0.8474,
305,0.8398,
306,0.8321,
307,0.8249,
308,0.8176,
309,0.8111,
310,0.8047,
311,0.7997,
312,0.7948,
313,0.7906,
314,0.7864,
315,0.7822,
316,0.7779,
317,0.7729,
318,0.768,
319,0.7626,
320,0.7573,
321,0.7526,
322,0.748,
323,0.7439,
324,0.7398,
325,0.7341,
326,0.7283,
327,0.7208,
328,0.7132,
329,0.7052,
330,0.6972,
331,0.6898,
332,0.6825,
333,0.6763,
334,0.6702,
335,0.6646,
336,0.659,
337,0.6526,
338,0.6463,
339,0.6389,
340,0.6316,
341,0.6249,
342,0.6182,
343,0.6126,
344,0.607,
345,0.6025,
346,0.5981,
347,0.5946,
348,0.591,
349,0.5875,
350,0.5839,
351,0.5798,
352,0.5758,
353,0.5714,
354,0.567,
355,0.5625,
356,0.558,
357,0.5538,
358,0.5496,
359,0.5456,
360,0.5416,
361,0.5368,
362,0.5319,
363,0.5256,
364,0.5192,
365,0.5113,
366,0.5035,
367,0.4944,
368,0.4853,
369,0.476,
370,0.4667,
371,0.4584,
372,0.4501,
373,0.4436,
374,0.437,
375,0.4326,
376,0.4281,
377,0.4246,
378,0.421,
379,0.4178,
380,0.4146,
381,0.4127,
382,0.4107,
383,0.4106,
384,0.4105,
385,0.413,
386,0.4155,
387,0.4207,
388,0.4259,
389,0.4327,
390,0.4394,
391,0.4467,
392,0.454,
393,0.4612,
394,0.4684,
395,0.4753,
396,0.4822,
397,0.4896,
398,0.4969,
399,0.5057,
400,0.5145,
401,0.5253,
402,0.5361,
403,0.5483,
404,0.5605,
405,0.5735,
406,0.5866,
407,0.6011,
408,0.6155,
409,0.6324,
410,0.6493,
411,0.6675,
412,0.6857,
413,0.7027,
414,0.7197,
415,0.7337,
416,0.7477,
417,0.7586,
418,0.7695,
419,0.7784,
420,0.7874,
421,0.7953,
422,0.8032,
423,0.8103,
424,0.8174,
425,0.8241,
426,0.8308,
427,0.8372,
428,0.8437,
429,0.8495,
430,0.8552,
431,0.8603,
432,0.8653,
433,0.8702,
434,0.875,
435,0.88,
436,0.885,
437,0.8901,
438,0.8951,
439,0.9002,
440,0.9053,
441,0.91,
442,0.9147,
443,0.9191,
444,0.9235,
445,0.9288,
446,0.9341,
447,0.9404,
448,0.9467,
449,0.9532,
450,0.9597,
451,0.9665,
452,0.9732,
453,0.9786,
454,0.9841,
455,0.992,0.4764
456,0.9999,0.5063
457,1,0.5361
458,0.9975,0.5664
459,0.9966,0.5984
460,0.9957,0.6304
461,0.9847,0.6624
462,0.9705,0.6958
463,0.944,0.7297
464,0.9151,0.7637
465,0.8946,0.7905
466,0.8709,0.8152
467,0.8584,0.8398
468,0.8467,0.8638
469,0.8364,0.8876
470,0.8261,0.9071
471,,0.923
472,,0.9381
473,,0.9514
474,,0.9648
475,,0.9735
476,,0.9821
477,,0.988
478,,0.9939
479,,0.997
480,,1
481,,0.9964
482,,0.9928
483,,0.9871
484,,0.9814
485,,0.9761
486,,0.9708
487,,0.9641
488,,0.9573
489,,0.9493
490,,0.9413
491,,0.9333
492,,0.9253
493,,0.9193
494,,0.9132
495,,0.9073
496,,0.9013
497,,0.8937
498,,0.8861
499,,0.8761
500,,0.866
501,,0.8458
502,,0.8255
503,,0.805
504,,0.7845
505,,0.7625
506,,0.7405
507,,0.7223
508,,0.704
509,,0.6871
510,,0.6702
511,,0.6566
512,,0.643
513,,0.6276
514,,0.6121
515,,0.5973
516,,0.5824
517,,0.5669
518,,0.5513
519,,0.535
520,,0.5187
521,,0.5055
522,,0.4923
523,,0.481
524,,0.4697
525,,0.4565
526,,0.4433
527,,0.4296
528,,0.4159
529,,0.404
530,,0.3921
531,,0.3825
532,,0.3729
533,,0.3594
534,,0.3458
535,,0.3369
536,,0.328
537,,0.3153
538,,0.3026
539,,0.2948
540,,0.2871
541,,0.2764
542,,0.2658
543,,0.2579
544,,0.25
545,,0.2416
546,,0.2332
547,,0.2245
548,,0.2158
549,,0.2086
550,,0.2014
551,,0.1957
552,,0.1901
553,,0.1835
554,,0.177
555,,0.1704
556,,0.1638
557,,0.1593
558,,0.1548
559,,0.149
560,,0.1432
561,,0.1377
562,,0.1323
563,,0.1287
564,,0.1251
565,,0.1216
566,,0.118
567,,0.1135
568,,0.109
569,,0.1053
570,,0.1017
571,,0.0988
572,,0.096
573,,0.0927
574,,0.0894
575,,0.0875
576,,0.0856
577,,0.0822
578,,0.0787
579,,0.0763
580,,0.0738
581,,0.0713
582,,0.0688
583,,0.068
584,,0.0671
585,,0.0645
586,,0.062
587,,0.0613
588,,0.0606
589,,0.0594
590,,0.0581
591,,0.0558
592,,0.0535
593,,0.0525
594,,0.0515
595,,0.0506
596,,0.0497
597,,0.0486
