w,ex,em
350,0.0484,
351,0.0483,
352,0.0484,
353,0.049,
354,0.0497,
355,0.0494,
356,0.0504,
357,0.0508,
358,0.0514,
359,0.0514,
360,0.0514,
361,0.0514,
362,0.0514,
363,0.0514,
364,0.0514,
365,0.0514,
366,0.0514,
367,0.0514,
368,0.0519,
369,0.0532,
370,0.0534,
371,0.0534,
372,0.0534,
373,0.0536,
374,0.0541,
375,0.0547,
376,0.0546,
377,0.0551,
378,0.056,
379,0.0556,
380,0.0557,
381,0.0566,
382,0.0572,
383,0.0572,
384,0.0586,
385,0.0582,
386,0.0591,
387,0.0602,
388,0.0603,
389,0.0594,
390,0.0595,
391,0.0615,
392,0.062,
393,0.0604,
394,0.0589,
395,0.059,
396,0.0597,
397,0.0601,
398,0.0605,
399,0.0569,
400,0.0572,
401,0.0575,
402,0.0575,
403,0.0562,
404,0.0574,
405,0.0572,
406,0.0545,
407,0.0526,
408,0.0551,
409,0.0538,
410,0.0525,
411,0.0517,
412,0.0522,
413,0.051,
414,0.0478,
415,0.048,
416,0.0472,
417,0.0451,
418,0.0448,
419,0.0435,
420,0.0428,
421,0.0425,
422,0.039,
423,0.0368,
424,0.0351,
425,0.0356,
426,0.035,
427,0.0352,
428,0.0333,
429,0.0344,
430,0.0337,
431,0.0304,
432,0.0302,
433,0.0355,
434,0.0329,
435,0.0328,
436,0.0349,
437,0.0351,
438,0.0365,
439,0.0382,
440,0.0397,
441,0.0447,
442,0.0433,
443,0.0461,
444,0.0481,
445,0.0505,
446,0.0539,
447,0.056,
448,0.0601,
449,0.0631,
450,0.0642,
451,0.0678,
452,0.0725,
453,0.0753,
454,0.0791,
455,0.0843,
456,0.086,
457,0.092,
458,0.0961,
459,0.0991,
460,0.1032,
461,0.1081,
462,0.1132,
463,0.1204,
464,0.1271,
465,0.1333,
466,0.1395,
467,0.1478,
468,0.1582,
469,0.167,
470,0.1785,
471,0.1904,
472,0.2037,
473,0.2174,
474,0.2319,
475,0.2474,
476,0.2617,
477,0.2787,
478,0.2929,
479,0.3081,
480,0.3209,
481,0.3328,
482,0.3429,
483,0.3524,
484,0.3622,0.0017
485,0.366,0.0018
486,0.3708,0.0019
487,0.3758,0.0021
488,0.3809,0.0023
489,0.3848,0.0025
490,0.3904,0.0027
491,0.3955,0.0031
492,0.4019,0.0035
493,0.4116,0.0039
494,0.4199,0.0047
495,0.4316,0.0055
496,0.4468,0.0065
497,0.4595,0.0078
498,0.4795,0.0092
499,0.5012,0.0114
500,0.5234,0.0136
501,0.5515,0.0166
502,0.5812,0.0202
503,0.6142,0.026
504,0.6498,0.0316
505,0.6903,0.0403
506,0.7313,0.0501
507,0.7742,0.064
508,0.8186,0.0788
509,0.8608,0.0998
510,0.9018,0.1232
511,0.939,0.1529
512,0.9673,0.1865
513,0.9891,0.2266
514,1,0.2721
515,0.9989,0.3223
516,0.9849,0.381
517,0.9584,0.4432
518,0.92,0.5122
519,0.8706,0.581
520,0.8119,0.6472
521,0.7468,0.7153
522,0.678,0.7808
523,0.608,0.838
524,0.5387,0.8903
525,0.4718,0.9312
526,0.4101,0.9661
527,0.3524,0.9874
528,0.3008,0.999
529,0.2554,1
530,0.2151,1
531,,0.9832
532,,0.9622
533,,0.9413
534,,0.9095
535,,0.8783
536,,0.8467
537,,0.8126
538,,0.7782
539,,0.743
540,,0.7101
541,,0.6811
542,,0.6504
543,,0.6205
544,,0.5949
545,,0.5676
546,,0.5466
547,,0.5219
548,,0.5027
549,,0.484
550,,0.4656
551,,0.4522
552,,0.4369
553,,0.4238
554,,0.4152
555,,0.4009
556,,0.3929
557,,0.3857
558,,0.3764
559,,0.3718
560,,0.3632
561,,0.3553
562,,0.3477
563,,0.342
564,,0.3348
565,,0.3271
566,,0.3181
567,,0.3109
568,,0.3018
569,,0.2938
570,,0.288
571,,0.2774
572,,0.2708
573,,0.2602
574,,0.2504
575,,0.2427
576,,0.2362
577,,0.2231
578,,0.2153
579,,0.2086
580,,0.1995
581,,0.1911
582,,0.1844
583,,0.1756
584,,0.1673
585,,0.1609
586,,0.1543
587,,0.1475
588,,0.1418
589,,0.1352
590,,0.1303
591,,0.1241
592,,0.1192
593,,0.114
594,,0.1095
595,,0.1062
596,,0.1008
597,,0.0972
598,,0.0935
599,,0.0892
600,,0.0871
601,,0.0836
602,,0.081
603,,0.0794
604,,0.0743
605,,0.0719
606,,0.0715
607,,0.0674
608,,0.0652
609,,0.0645
610,,0.0622
611,,0.0596
612,,0.0572
613,,0.0562
614,,0.0538
615,,0.053
616,,0.0518
617,,0.0506
618,,0.0478
619,,0.0464
620,,0.045
621,,0.0437
622,,0.0426
623,,0.0409
624,,0.0399
625,,0.0398
626,,0.037
627,,0.0354
628,,0.0355
629,,0.0339
630,,0.0324
631,,0.0318
632,,0.0303
633,,0.0296
634,,0.028
635,,0.0276
636,,0.0273
637,,0.0263
638,,0.0255
639,,0.0237
640,,0.0234
641,,0.0216
642,,0.0217
643,,0.0213
644,,0.0209
645,,0.0203
646,,0.0193
647,,0.0185
648,,0.0179
649,,0.0172
650,,0.0162
651,,0.0166
652,,0.0166
653,,0.0158
654,,0.015
655,,0.0146
656,,0.0146
657,,0.0138
658,,0.0134
659,,0.0133
660,,0.0131
661,,0.0123
662,,0.0118
663,,0.0121
664,,0.0114
665,,0.0113
666,,0.0112
667,,0.0114
668,,0.0107
669,,0.0108
670,,0.0106
671,,0.0101
672,,0.0095
673,,0.0094
674,,0.0097
675,,0.0096
