w,ex,em
320,0.0304,
321,0.0306,
322,0.0305,
323,0.0306,
324,0.0313,
325,0.0314,
326,0.0309,
327,0.0312,
328,0.0316,
329,0.0323,
330,0.0326,
331,0.0336,
332,0.0352,
333,0.0341,
334,0.0355,
335,0.0365,
336,0.0377,
337,0.0386,
338,0.039,
339,0.0396,
340,0.0399,
341,0.0411,
342,0.041,
343,0.0424,
344,0.0435,
345,0.0443,
346,0.0443,
347,0.0441,
348,0.0456,
349,0.0462,
350,0.0465,
351,0.0487,
352,0.0499,
353,0.05,
354,0.0513,
355,0.0522,
356,0.0533,
357,0.0533,
358,0.0549,
359,0.0544,
360,0.0542,
361,0.0549,
362,0.0557,
363,0.0555,
364,0.0543,
365,0.057,
366,0.0567,
367,0.0568,
368,0.0572,
369,0.057,
370,0.0581,
371,0.0581,
372,0.0585,
373,0.0584,
374,0.0572,
375,0.0571,
376,0.0545,
377,0.0534,
378,0.0514,
379,0.0487,
380,0.0461,
381,0.0439,
382,0.0411,
383,0.0365,
384,0.0341,
385,0.0307,
386,0.0277,
387,0.0254,
388,0.0225,
389,0.0198,
390,0.018,
391,0.0161,
392,0.0139,
393,0.0128,
394,0.0111,
395,0.0102,
396,0.0091,
397,0.0081,
398,0.0076,
399,0.0074,
400,0.0064,
401,0.006,
402,0.0058,
403,0.0051,
404,0.0051,
405,0.005,
406,0.0049,
407,0.0048,
408,0.0045,
409,0.0046,
410,0.0046,
411,0.0047,
412,0.0046,
413,0.0045,
414,0.0047,
415,0.0048,
416,0.0045,
417,0.0049,
418,0.0053,
419,0.0053,
420,0.0055,
421,0.0054,
422,0.0055,
423,0.0057,
424,0.0057,
425,0.0059,
426,0.0063,
427,0.0063,
428,0.0065,
429,0.0068,
430,0.0072,
431,0.0074,
432,0.0076,
433,0.0081,
434,0.0083,
435,0.0083,
436,0.0086,
437,0.0093,
438,0.0099,
439,0.0102,
440,0.0105,
441,0.0115,
442,0.0116,
443,0.0121,
444,0.0127,
445,0.0134,
446,0.0141,
447,0.0145,
448,0.0154,
449,0.0161,
450,0.0165,
451,0.0178,
452,0.0182,
453,0.0204,
454,0.0209,
455,0.0218,
456,0.0227,
457,0.0241,
458,0.0252,
459,0.0265,
460,0.0284,
461,0.0294,
462,0.03,
463,0.0321,
464,0.0338,
465,0.0366,
466,0.0377,
467,0.04,
468,0.042,
469,0.0439,
470,0.0462,
471,0.0492,
472,0.0521,
473,0.0545,
474,0.0568,
475,0.0616,
476,0.0641,
477,0.0681,
478,0.0698,
479,0.0733,
480,0.0767,
481,0.08,
482,0.0838,
483,0.0873,
484,0.0909,
485,0.0941,
486,0.0985,
487,0.102,
488,0.1065,
489,0.1114,
490,0.1167,
491,0.1201,
492,0.1246,
493,0.1299,
494,0.1362,
495,0.1419,
496,0.1496,
497,0.1561,
498,0.1644,
499,0.1716,
500,0.1808,
501,0.1894,
502,0.2004,
503,0.2093,
504,0.2218,
505,0.234,
506,0.2449,
507,0.2601,
508,0.2685,
509,0.2849,
510,0.2969,
511,0.312,
512,0.3224,
513,0.3356,
514,0.3485,
515,0.3572,
516,0.3698,
517,0.3796,
518,0.3868,
519,0.3953,
520,0.4015,
521,0.4077,
522,0.4151,
523,0.4185,
524,0.4255,
525,0.4306,
526,0.4399,
527,0.4414,
528,0.4517,
529,0.4597,
530,0.4694,
531,0.4792,
532,0.4881,
533,0.5029,
534,0.5178,
535,0.5323,0.0082
536,0.548,0.0097
537,0.5686,0.0106
538,0.5913,0.0137
539,0.6105,0.0159
540,0.6347,0.0186
541,0.656,0.0229
542,0.6895,0.0275
543,0.7222,0.0321
544,0.7458,0.0387
545,0.781,0.0473
546,0.8134,0.0565
547,0.8449,0.0689
548,0.8749,0.0802
549,0.903,0.0967
550,0.9323,0.1163
551,0.9507,0.1347
552,0.9728,0.1534
553,0.9811,0.1816
554,1,0.2101
555,0.9975,0.2395
556,0.9953,0.279
557,0.9859,0.3156
558,0.9674,0.3558
559,0.9448,0.3943
560,0.9159,0.4402
561,0.8712,0.48
562,0.8321,0.5208
563,0.7858,0.5672
564,0.7417,0.6088
565,0.6845,0.6557
566,0.631,0.6914
567,0.5805,0.7299
568,0.5343,0.7612
569,0.4899,0.7942
570,0.4452,0.8243
571,0.4032,0.8521
572,0.3584,0.8764
573,0.322,0.9057
574,0.2917,0.9222
575,0.2555,0.9403
576,0.2315,0.9572
577,0.2035,0.9614
578,0.1795,0.9729
579,0.1586,0.9835
580,0.1411,0.9933
581,0.1244,0.9977
582,0.1086,0.9966
583,0.097,0.9999
584,0.0862,1
585,0.0765,0.9956
586,0.066,0.9927
587,0.0587,0.9882
588,0.0514,0.9803
589,0.0455,0.9732
590,0.041,0.967
591,0.0358,0.9661
592,0.0315,0.9539
593,0.0278,0.9451
594,0.0234,0.9323
595,0.0209,0.9269
596,0.0187,0.92
597,0.016,0.9025
598,0.0141,0.8911
599,0.0124,0.8806
600,0.011,0.8689
601,,0.8603
602,,0.8511
603,,0.8309
604,,0.8238
605,,0.8147
606,,0.7974
607,,0.7849
608,,0.7737
609,,0.7596
610,,0.7472
611,,0.7291
612,,0.7211
613,,0.7123
614,,0.6965
615,,0.6856
616,,0.6705
617,,0.6579
618,,0.6441
619,,0.628
620,,0.6192
621,,0.6043
622,,0.5918
623,,0.575
624,,0.5686
625,,0.552
626,,0.5434
627,,0.5263
628,,0.5139
629,,0.5009
630,,0.4912
631,,0.478
632,,0.4725
633,,0.4544
634,,0.4455
635,,0.4321
636,,0.4225
637,,0.4096
638,,0.4013
639,,0.3924
640,,0.3805
641,,0.3712
642,,0.3625
643,,0.3586
644,,0.3455
645,,0.3361
646,,0.3268
647,,0.3181
648,,0.3104
649,,0.3056
650,,0.2976
651,,0.2926
652,,0.2804
653,,0.2708
654,,0.2622
655,,0.2574
656,,0.2498
657,,0.2378
658,,0.2357
659,,0.2267
660,,0.2229
661,,0.2185
662,,0.2123
663,,0.2027
664,,0.2003
665,,0.1936
666,,0.1898
667,,0.184
668,,0.1768
669,,0.1764
670,,0.1681
671,,0.1613
672,,0.1596
673,,0.1531
674,,0.1524
675,,0.1486
676,,0.1456
677,,0.1385
678,,0.1363
679,,0.1311
680,,0.1293
681,,0.1269
682,,0.1196
683,,0.115
684,,0.1133
685,,0.1121
686,,0.111
687,,0.1041
688,,0.103
689,,0.099
690,,0.0975
691,,0.093
692,,0.0923
693,,0.0918
694,,0.0878
695,,0.0835
696,,0.0804
697,,0.0813
698,,0.0776
699,,0.0769
700,,0.0739
701,,0.0713
702,,0.0693
703,,0.0681
704,,0.0649
705,,0.0633
706,,0.0621
707,,0.0605
708,,0.0585
709,,0.0579
710,,0.0569
711,,0.055
712,,0.0541
713,,0.0523
714,,0.0507
715,,0.0487
716,,0.0492
717,,0.0467
718,,0.0467
719,,0.0439
720,,0.0432
721,,0.0425
722,,0.0412
723,,0.038
724,,0.0385
725,,0.0388
726,,0.0353
727,,0.0359
728,,0.0346
729,,0.0317
730,,0.0321
731,,0.032
732,,0.0311
733,,0.0291
734,,0.0296
735,,0.0281
736,,0.0272
737,,0.0263
738,,0.0266
739,,0.0249
740,,0.025
741,,0.0243
742,,0.0238
743,,0.0237
744,,0.0221
745,,0.0222
746,,0.022
747,,0.0205
748,,0.0209
749,,0.0208
750,,0.0196
751,,
752,,
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,,
781,,
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,,
845,,
846,,
847,,
848,,
849,,
850,,
851,,
852,,
853,,
854,,
855,,
856,,
857,,
858,,
859,,
860,,
861,,
862,,
863,,
864,,
865,,
866,,
867,,
868,,
869,,
870,,
871,,
872,,
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,,
882,,
883,,
884,,
885,,
886,,
887,,
888,,
889,,
890,,
891,,
892,,
893,,
894,,
895,,
896,,
897,,
898,,
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,,
918,,
919,,
920,,
921,,
922,,
923,,
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
940,,
941,,
942,,
943,,
944,,
945,,
946,,
947,,
948,,
949,,
950,,
951,,
952,,
953,,
954,,
955,,
956,,
957,,
958,,
959,,
960,,
961,,
962,,
963,,
964,,
965,,
966,,
967,,
968,,
969,,
970,,
971,,
972,,
973,,
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,
990,,
991,,
992,,
993,,
994,,
995,,
996,,
997,,
998,,
999,,
1000,,
1001,,
1002,,
1003,,
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
1061,,
1062,,
1063,,
1064,,
1065,,
1066,,
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1088,,
1089,,
1090,,
1091,,
1092,,
1093,,
1094,,
1095,,
1096,,
1097,,
1098,,
1099,,
1100,,
1101,,
1102,,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,
1140,,
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,,
1157,,
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,
1171,,
1172,,
1173,,
1174,,
1175,,
1176,,
1177,,
1178,,
1179,,
1180,,
1181,,
1182,,
1183,,
1184,,
1185,,
1186,,
1187,,
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,,
1202,,
1203,,
1204,,
1205,,
1206,,
1207,,
1208,,
1209,,
1210,,
1211,,
1212,,
1213,,
1214,,
1215,,
1216,,
1217,,
1218,,
1219,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1226,,
1227,,
1228,,
1229,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1238,,
1239,,
1240,,
1241,,
1242,,
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
