w,ex,em
300,5.709392,0
301,5.623751,0
302,5.53811,0
303,5.509563,0
304,5.481017,0
305,5.452469,0
306,5.452469,0
307,5.481017,0
308,5.509563,0
309,5.566657,0
310,5.652298,0
311,5.709392,0
312,5.82358,0
313,5.937768,0
314,6.137597,0
315,6.308878,0
316,6.508707,0
317,6.76563,0
318,6.994005,0
319,7.222381,0
320,7.336568,0
321,7.393663,0
322,7.393663,0
323,7.308022,0
324,7.250928,0
325,7.13674,0
326,6.879817,0
327,6.76563,0
328,6.679988,0
329,6.508707,0
330,6.365972,0
331,6.280331,0
332,6.251784,0
333,6.166143,0
334,6.080502,0
335,6.166143,0
336,6.166143,0
337,6.251784,0
338,6.365972,0
339,6.394519,0
340,6.537254,0
341,6.622895,0
342,6.708535,0
343,6.76563,0
344,6.908364,0
345,6.965458,0
346,7.051099,0
347,7.165287,0
348,7.279475,0
349,7.365116,0
350,7.450757,0
351,7.507851,0
352,7.564944,0
353,7.707679,0
354,7.79332,0
355,7.79332,0
356,7.907508,0
357,7.907508,0
358,7.878961,0
359,7.964602,0
360,8.021696,0
361,7.993149,0
362,7.993149,0
363,8.021696,0
364,7.993149,0
365,8.050242,0
366,7.993149,0
367,7.964602,0
368,7.936055,0
369,7.850414,0
370,7.764773,0
371,7.79332,0
372,7.736226,0
373,7.679132,0
374,7.564944,0
375,7.507851,0
376,7.450757,0
377,7.393663,0
378,7.336568,0
379,7.222381,0
380,7.13674,0
381,7.022552,0
382,6.936911,0
383,6.879817,0
384,6.822723,0
385,6.737083,0
386,6.622895,0
387,6.537254,0
388,6.423066,0
389,6.251784,0
390,6.166143,0
391,6.080502,0
392,5.937768,0
393,5.795033,0
394,5.680845,0
395,5.509563,0
396,5.395375,0
397,5.281188,0
398,5.138453,0
399,5.081359,0
400,4.995718,0
401,4.88153,0
402,4.852983,0
403,4.767342,0
404,4.653154,0
405,4.596061,0
406,4.567514,0
407,4.481873,0
408,4.481873,0
409,4.424778,0
410,4.424778,0
411,4.396232,0
412,4.367685,0
413,4.396232,0
414,4.453326,0
415,4.510419,0
416,4.567514,0
417,4.624608,0
418,4.681702,0
419,4.824436,0
420,4.938624,0
421,5.052812,0
422,5.195547,0
423,5.366828,0
424,5.53811,0
425,5.795033,0
426,5.994862,0
427,6.19469,0
428,6.508707,0
429,6.794177,0
430,7.051099,0
431,7.393663,0
432,7.679132,0
433,7.936055,0
434,8.335712,0
435,8.678276,0
436,8.963745,0
437,9.420497,0
438,9.763061,0
439,10.16272,0
440,10.70511,0
441,11.19041,0
442,11.67571,0
443,12.36083,0
444,12.98887,0
445,13.67399,0
446,14.67314,0
447,15.501,0
448,16.35741,0
449,17.52783,0
450,18.52698,0
451,19.52612,0
452,20.92492,0
453,22.09535,0
454,23.23722,0
455,24.75021,0
456,25.94919,0
457,27.09106,0
458,28.54696,0
459,29.71738,0
460,30.77362,0
461,32.05824,0
462,33.00029,0
463,33.8567,0
464,34.88438,0
465,35.59806,0
466,36.28319,0
467,37.11105,0
468,37.76763,0
469,38.45275,0
470,39.33771,0
471,40.16557,0
472,41.10762,0
473,42.44933,0
474,43.76249,0
475,45.24693,0
476,47.47359,0
477,49.50043,0
478,51.75564,0
479,55.03854,0
480,57.86469,0.941344
481,60.86212,1.081094
482,64.91579,1.314241
483,68.25578,1.600454
484,71.88125,2.030594
485,76.30602,2.564576
486,79.70311,3.267749
487,83.27148,4.012747
488,87.49643,5.055497
489,90.49387,6.375955
490,93.32001,7.818307
491,96.26035,9.537823
492,98.00172,11.54181
493,99.31487,13.86215
494,100,16.75227
495,99.80017,19.46974
496,98.85812,22.49613
497,96.66001,26.4738
498,94.23351,30.90791
499,91.00771,35.7508
500,86.12617,40.89355
501,81.81558,46.42442
502,76.87697,51.61631
503,70.36826,56.87871
504,65.2298,62.39551
505,59.69169,67.83575
506,52.95461,72.9339
507,48.07308,77.9823
508,43.10591,82.46131
509,37.31088,86.25935
510,33.22866,89.77137
511,29.20354,92.9907
512,24.72167,95.34057
513,21.66714,97.29032
514,18.7839,98.78532
515,15.61519,99.56673
516,13.58835,100
517,11.70425,99.45059
518,9.705967,99.06377
519,8.421353,98.10335
520,7.222381,96.79268
521,5.994862,95.03926
522,5.195547,92.87209
523,4.510419,91.10918
524,3.711105,88.78478
525,3.225806,86.30917
526,2.826149,83.60747
527,2.369398,81.14326
528,2.083928,78.51254
529,1.827005,75.92603
530,1.541536,73.03828
531,1.370254,70.45006
532,1.198972,68.13844
533,1.027691,65.38643
534,0.9135027,63.05942
535,0.8278618,60.6773
536,0.7136739,58.49327
537,0.6565801,56.52495
538,0.5709392,54.48742
539,0.5138453,52.45914
540,0.4852983,50.92834
541,0.4567513,49.17488
542,0.4282044,47.61642
543,0.3996574,46.1741
544,0.3711105,45.00019
545,0.3711105,43.7463
546,0.3425635,42.43855
547,0.3140166,41.34077
548,0.3140166,40.078
549,0.3140166,39.16312
550,0.2854696,38.31845
551,0.2854696,37.27491
552,0.2854696,36.21457
553,0.2569226,35.24352
554,0.2283757,34.37671
555,0.2283757,33.41878
556,0.2283757,32.71833
557,0.1998287,31.61111
558,0.1998287,30.56847
559,0.1998287,29.60226
560,0.1998287,28.68134
561,0.1998287,27.80647
562,0.1998287,26.7204
563,0.1998287,25.80196
564,0.1712818,25.03229
565,0.1712818,24.17806
566,0.1427348,23.4963
567,0.1427348,22.59138
568,0.1427348,21.90058
569,0.1141878,21.03369
570,0.1141878,20.24841
571,0.1141878,19.49148
572,0.1141878,18.74068
573,0.0856,18.03148
574,0.0571,17.24209
575,0.0285,16.60151
576,0,16.03885
577,0,15.38026
578,0,14.8022
579,0,14.25944
580,-0.0285,13.59103
581,0,13.11067
582,-0.0285,12.64549
583,-0.0571,12.08969
584,-0.0571,11.60436
585,-0.0571,11.1945
586,-0.0571,10.69578
587,-0.0285,10.27237
588,-0.0285,9.823664
589,-0.0285,9.542763
590,-0.0285,9.184197
591,-0.0285,8.818641
592,-0.0285,8.476113
593,0,8.290547
594,0,7.921775
595,0,7.663904
596,0.0285,7.418685
597,0.0285,7.056474
598,0,6.869364
599,0.0285,6.535842
600,0.0571,6.334023
601,0,6.042059
602,0,5.828146
603,0,5.624268
604,0,5.430811
605,0,5.264844
606,0,4.973265
607,0,4.838862
608,0,4.773504
609,0,4.495863
610,0,4.435524
611,0,4.12679
612,0,4.00774
613,0,3.869863
614,0,3.772427
615,0,3.672246
616,0,3.543633
617,0,3.433331
618,0,3.340355
619,0,3.255999
620,0,3.152002
621,0,3.024846
622,0,2.937317
623,0,2.79425
624,0,2.727607
625,0,2.618334
626,0,2.536337
627,0,2.474196
628,0,2.390483
629,0,2.287301
630,0,2.175498
631,0,2.135185
632,0,2.022568
633,0,2.013305
634,0,1.869638
635,0,1.812686
636,0,1.75076
637,0,1.668033
638,0,1.638228
639,0,1.595771
640,0,1.481438
641,0,1.457765
642,0,1.403944
643,0,1.346092
644,0,1.331682
645,0,1.281377
646,0,1.259549
647,0,1.166187
648,0,1.149847
649,0,1.116825
650,0,1.043791
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
