Wavelength,Excitation,Emission
300,43.24848,0
301,44.02618,0
302,45.05172,0
303,45.85571,0
304,46.47619,0
305,46.61898,0
306,46.548,0
307,47.11084,0
308,47.40787,0
309,47.65639,0
310,48.68328,0
311,49.57478,0
312,50.44596,0
313,52.02588,0
314,53.74671,0
315,55.551,0
316,57.56065,0
317,59.50294,0
318,61.87878,0
319,63.5731,0
320,65.60942,0
321,67.72415,0
322,69.9875,0
323,72.90005,0
324,75.50573,0
325,77.76801,0
326,80.63184,0
327,83.63788,0
328,86.80652,0
329,89.4055,0
330,91.93584,0
331,94.17048,0
332,96.21724,0
333,97.7725,0
334,99.00971,0
335,99.52501,0
336,100,0
337,99.62914,0
338,99.42307,0
339,99.0968,0
340,98.27619,0
341,97.20029,0
342,95.6395,0
343,94.4758,0
344,92.30603,0
345,90.34754,0
346,88.22897,0
347,86.34718,0
348,84.00824,0
349,80.94431,0
350,78.10918,0
351,74.83523,0
352,71.5933,0
353,68.27488,0
354,64.73315,0
355,61.14685,0
356,57.57752,0
357,54.17294,0
358,50.64,0
359,47.33955,0
360,44.34201,0
361,41.23584,0
362,37.57854,0
363,34.6667,0
364,31.97221,0
365,29.26497,0
366,26.77091,0
367,24.72807,0
368,22.74644,0
369,21.08721,0
370,19.57658,0
371,18.01584,0
372,16.89622,0
373,15.55413,0
374,14.22862,0
375,13.40973,0
376,12.62871,0
377,11.9625,0
378,11.34762,0
379,10.72723,0
380,10.06102,0
381,9.680523,0
382,9.277096,0
383,8.903625,0
384,8.488922,0
385,8.168292,0
386,7.896003,0
387,7.566202,0
388,7.307502,0
389,7.111952,0
390,6.813789,0
391,6.540533,0
392,6.294286,0
393,6.089817,0
394,5.876134,0
395,5.641078,0
396,5.429877,0
397,5.164068,0
398,4.957537,0
399,4.701235,0
400,4.544559,1.229261
401,4.309336,1.26833
402,4.131456,1.339577
403,3.861818,1.431621
404,3.729712,1.549853
405,3.435714,1.624737
406,3.300832,1.728719
407,3.099181,1.839078
408,2.902369,1.958294
409,2.720577,2.092958
410,2.560745,2.227065
411,2.408151,2.377048
412,2.252233,2.519457
413,2.127069,2.663492
414,2.010656,2.806885
415,1.882379,2.966411
416,1.79062,3.143908
417,1.643074,3.273736
418,1.531626,3.58179
419,1.439741,3.728735
