Wavelength,Excitation,Emission
300,13.09314,0
301,12.81925,0
302,12.77402,0
303,12.65904,0
304,12.40657,0
305,12.20971,0
306,12.28507,0
307,12.1989,0
308,12.13525,0
309,11.9089,0
310,11.83565,0
311,11.81714,0
312,11.91307,0
313,11.79817,0
314,11.89712,0
315,12.03246,0
316,12.09031,0
317,12.34939,0
318,12.46248,0
319,12.87104,0
320,13.39778,0
321,13.70857,0
322,14.46603,0
323,15.02449,0
324,15.65872,0
325,16.69874,0
326,17.59634,0
327,18.75681,0
328,19.77163,0
329,20.7824,0
330,21.96062,0
331,22.93631,0
332,24.01832,0
333,25.20504,0
334,26.29933,0
335,27.28524,0
336,28.64323,0
337,29.49536,0
338,30.47437,0
339,31.60303,0
340,32.51801,0
341,33.49046,0
342,34.27375,0
343,35.10295,0
344,35.5898,0
345,35.96668,0
346,36.81102,0
347,37.12059,0
348,37.8406,0
349,38.02341,0
350,38.49032,0
351,39.09876,0
352,39.41712,0
353,39.92922,0
354,40.48701,0
355,40.83149,0
356,41.66599,0
357,41.98144,0
358,43.0361,0
359,43.91044,0
360,44.45506,0
361,45.02547,0
362,45.85685,0
363,46.26743,0
364,46.73085,0
365,46.94449,0
366,47.26461,0
367,47.20004,0
368,47.21653,0
369,47.06389,0
370,46.52289,0
371,45.83543,0
372,45.30579,0
373,44.55544,0
374,43.8045,0
375,42.7806,0
376,41.8103,0
377,40.73742,0
378,39.53311,0
379,38.61216,0
380,37.29359,0
381,36.23691,0
382,35.02301,0
383,33.94963,0
384,32.90456,0
385,32.03759,0
386,30.66415,0
387,29.9003,0
388,28.63343,0
389,27.706,0
390,26.39588,0
391,25.32671,0
392,24.42439,0
393,23.41909,0
394,22.36548,0
395,21.55324,0
396,20.76965,0
397,19.90933,0
398,19.13655,0
399,18.2376,0
400,17.47858,0.4038201
401,16.54934,0.3695016
402,15.63596,0.3763481
403,14.89583,0.3938069
404,14.16866,0.413662
405,13.40165,0.4425888
406,12.65151,0.4516177
407,11.95989,0.4472103
408,11.3578,0.4442577
409,10.57089,0.474725
410,9.894417,0.4814004
411,9.341634,0.5006136
412,8.711103,0.5012983
413,8.128114,0.5345898
414,7.579623,0.5506365
415,7.045353,0.568352
416,6.559802,0.5810182
417,6.12217,0.6102445
418,5.577718,0.6655307
419,5.193855,0.6423379
420,4.745831,0.6921468
421,4.365586,0.7143127
422,3.966997,0.7374198
423,3.643759,0.7755468
424,3.270371,0.7851748
425,3.087233,0.8446544
426,2.73345,0.8992131
427,2.467851,0.9328898
428,2.235993,1.021938
429,2.122693,1.075898
430,1.928994,1.16439
431,1.761633,1.183346
432,1.630453,1.237948
433,1.516774,1.329735
434,1.36906,1.446597
435,1.26611,1.494181
436,1.122435,1.6208
437,1.006864,1.704543
438,0.9082472,1.846951
439,0.8143007,2.011911
440,0.7395811,2.104041
441,0.6626738,2.276874
442,0.5933393,2.375294
443,0.5168107,2.604098
444,0.4677128,2.750615
445,0.4242526,2.935344
446,0.3678763,3.136933
447,0.3274032,3.3627
448,0.2806613,3.628946
449,0.2509586,3.783122
450,0.2426284,4.168242
451,0,4.414977
452,0,4.89689
453,0,5.221804
454,0,5.733072
455,0,6.190424
456,0,6.606781
457,0,7.082705
458,0,7.6321
459,0,8.155864
460,0,8.665549
461,0,9.237538
462,0,9.766266
463,0,10.43051
464,0,11.07268
465,0,11.75747
466,0,12.32693
467,0,12.92455
468,0,13.48349
469,0,14.11462
470,0,14.86997
471,0,15.74398
472,0,16.48499
473,0,17.26982
474,0,18.03026
475,0,18.86499
476,0,19.74024
477,0,20.69354
478,0,21.36579
479,0,22.23599
480,0,22.81885
481,0,23.65054
482,0,24.28967
483,0,25.05285
484,0,25.56536
485,0,26.20607
486,0,26.74293
487,0,27.62584
488,0,28.34515
489,0,28.9492
490,0,29.67819
491,0,30.09065
492,0,30.92563
493,0,31.54431
494,0,32.05596
495,0,32.79843
496,0,33.1129
497,0,34.02016
498,0,34.4767
499,0,35.02494
500,0,35.3831
501,0,35.90588
502,0,36.31612
503,0,36.35857
504,0,36.68964
505,0,36.89482
506,0,36.94117
507,0,37.36715
508,0,37.4203
509,0,37.70666
510,0,37.54889
511,0,37.5758
512,0,37.59519
513,0,37.3966
514,0,37.65831
515,0,37.72643
516,0,37.55826
517,0,37.4034
518,0,37.16578
519,0,36.7579
520,0,37.00792
521,0,36.73307
522,0,36.36439
523,0,36.40316
524,0,36.32399
525,0,35.95552
526,0,35.63377
527,0,35.35588
528,0,35.36714
529,0,35.05673
530,0,34.51949
531,0,34.45881
532,0,33.84981
533,0,33.34663
534,0,32.95175
535,0,32.67117
536,0,32.4407
537,0,31.89002
538,0,31.63759
539,0,31.01126
540,0,30.70432
541,0,30.38912
542,0,30.08427
543,0,29.56196
544,0,29.13101
545,0,28.75321
546,0,28.41623
547,0,27.93222
548,0,27.48899
549,0,27.14897
550,0,26.82466
551,0,26.31001
552,0,25.72933
553,0,25.31875
554,0,24.92717
555,0,24.33229
556,0,23.97383
557,0,23.54181
558,0,23.00448
559,0,22.82441
560,0,22.67614
561,0,21.92601
562,0,21.50396
563,0,21.26519
564,0,20.74442
565,0,20.37727
566,0,19.90079
567,0,19.61396
568,0,19.08695
569,0,18.90842
570,0,18.55433
571,0,18.21097
572,0,17.5614
573,0,17.39858
574,0,17.05082
575,0,16.67344
576,0,16.35174
577,0,15.92734
578,0,15.61903
579,0,15.16514
580,0,14.92761
581,0,14.64287
582,0,14.16652
583,0,14.04012
584,0,13.52975
585,0,13.19726
586,0,12.97089
587,0,12.45342
588,0,12.10968
589,0,11.97801
590,0,11.96475
591,0,11.55288
592,0,11.14221
593,0,10.95543
594,0,10.42773
595,0,10.29003
596,0,9.78826
597,0,9.650558
598,0,9.303224
599,0,9.186232
600,0,8.784338
601,0,8.554892
602,0,8.405037
603,0,8.154324
604,0,7.955388
605,0,7.750161
606,0,7.523069
607,0,7.238936
608,0,7.173379
609,0,6.950309
610,0,6.727966
611,0,6.664592
612,0,6.523852
613,0,6.351704
614,0,6.202748
615,0,6.159785
616,0,6.034236
617,0,5.842875
618,0,5.776933
619,0,5.583175
620,0,5.43546
621,0,5.302251
622,0,5.21791
623,0,4.998648
624,0,4.990646
625,0,4.848151
626,0,4.703132
627,0,4.535177
628,0,4.450921
629,0,4.419983
630,0,4.364782
631,0,4.157502
632,0,4.050311
633,0,4.002555
634,0,3.784577
635,0,3.754923
636,0,3.734897
637,0,3.638146
638,0,3.435273
639,0,3.44978
640,0,3.324444
641,0,3.209721
642,0,3.138859
643,0,3.097009
644,0,2.95935
645,0,2.939495
646,0,2.900042
647,0,2.853613
648,0,2.764137
649,0,2.668969
650,0,2.696912
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
