Wavelength,Excitation,Emission
300,16.96052,0
301,16.92219,0
302,16.96052,0
303,16.99885,0
304,17.05634,0
305,17.07551,0
306,17.11384,0
307,17.22882,0
308,17.32465,0
309,17.42047,0
310,17.55462,0
311,17.66961,0
312,17.78459,0
313,17.91874,0
314,17.9954,0
315,18.07206,0
316,18.22537,0
317,18.28287,0
318,18.34036,0
319,18.35952,0
320,18.41702,0
321,18.43618,0
322,18.45535,0
323,18.49368,0
324,18.532,0
325,18.60866,0
326,18.62783,0
327,18.64699,0
328,18.72365,0
329,18.78114,0
330,18.83864,0
331,18.78114,0
332,18.72365,0
333,18.68532,0
334,18.5895,0
335,18.49368,0
336,18.43618,0
337,18.2637,0
338,18.14872,0
339,18.01456,0
340,17.78459,0
341,17.65044,0
342,17.49713,0
343,17.34381,0
344,17.24799,0
345,17.20966,0
346,17.07551,0
347,16.94136,0
348,16.88386,0
349,16.8647,0
350,16.82637,0
351,16.80721,0
352,16.74971,0
353,16.76888,0
354,16.82637,0
355,16.90303,0
356,16.96052,0
357,16.99885,0
358,17.133,0
359,17.20966,0
360,17.36297,0
361,17.66961,0
362,17.88041,0
363,18.14872,0
364,18.532,0
365,18.8578,0
366,19.22192,0
367,19.83519,0
368,20.37179,0
369,20.87007,0
370,21.69414,0
371,22.38406,0
372,23.09314,0
373,24.10885,0
374,24.87543,0
375,25.64201,0
376,26.84937,0
377,27.73093,0
378,28.61249,0
379,29.87735,0
380,30.85473,0
381,31.85128,0
382,33.21196,0
383,34.20851,0
384,35.26255,0
385,36.71905,0
386,37.84975,0
387,38.98045,0
388,40.60943,0
389,41.83595,0
390,43.10081,0
391,44.8831,0
392,46.26294,0
393,47.6811,0
394,49.65504,0
395,51.14987,0
396,52.68302,0
397,54.82944,0
398,56.42009,0
399,58.01073,0
400,60.19548,0
401,61.80529,0
402,63.43427,0
403,65.61901,0
404,67.20966,0
405,68.80031,0
406,70.96589,0
407,72.47987,0
408,73.91721,0
409,75.6995,0
410,76.96436,0
411,78.15255,0
412,79.72404,0
413,80.77808,0
414,81.81296,0
415,83.17363,0
416,84.13185,0
417,85.07091,0
418,86.33576,0
419,87.25565,0
420,88.17554,0
421,89.4404,0
422,90.34113,0
423,91.26102,0
424,92.52587,0
425,93.44576,0
426,94.32732,0
427,95.4772,0
428,96.32043,0
429,97.06784,0
430,98.0069,0
431,98.62016,0
432,99.15677,0
433,99.6742,0
434,99.90418,0
435,100,0
436,99.92334,0
437,99.6742,0
438,99.31007,0
439,98.5435,0
440,97.79609,0
441,96.8762,0
442,95.34304,0
443,94.03986,0
444,92.60253,0
445,90.43694,0
446,88.75047,0
447,86.96819,0
448,84.41932,0
449,82.48371,0
450,80.49061,0.64038832
451,77.61594,0.680489948
452,75.48869,0.721324034
453,73.32311,0.753741219
454,70.29514,0.769529046
455,68.01456,0.796722506
456,65.73399,0.868652558
457,62.6102,0.883301752
458,60.32963,0.904739258
459,57.9724,0.98203332
460,54.88693,1.031167794
461,52.60637,1.09781449
462,50.30663,1.149043528
463,47.33614,1.192583678
464,45.18973,1.239099741
465,43.00498,1.321639105
466,40.22614,1.361507865
467,38.17555,1.414085428
468,36.12495,1.481347429
469,33.59525,1.570148409
470,31.81295,1.602507032
471,30.03066,1.652480428
472,27.82675,1.743549739
473,26.19778,1.829862634
474,24.60713,1.908473821
475,22.67152,2.048869177
476,21.25335,2.101300338
477,19.87351,2.212625924
478,18.14872,2.369239404
479,16.94136,2.533932034
480,15.75316,2.691983771
481,14.43082,2.880740801
482,13.49176,3.053042149
483,12.57187,3.308297337
484,11.51782,3.466371452
485,10.77041,3.664112074
486,10.023,3.808850277
487,9.160598,3.999216784
488,8.566501,4.247167951
489,7.991568,4.414383757
490,7.301648,4.581836
491,6.822537,4.695328501
492,6.343427,4.837400862
493,5.806823,5.00832758
494,5.423534,5.161418682
495,5.021081,5.29528809
496,4.599463,5.439529413
497,4.292832,5.618788811
498,3.986202,5.747554145
499,3.641242,5.930117514
500,3.392104,6.071049241
501,3.162131,6.239445099
502,2.893829,6.388424713
503,2.68302,6.604929063
504,2.51054,6.751064418
505,2.280567,7.027453305
506,2.127252,7.3146319
507,1.973936,7.486219914
508,1.820621,7.788099388
509,1.705634,8.13497684
510,1.609812,8.3580376
511,1.494826,8.603536155
512,1.418168,8.914712261
513,1.322346,9.198482646
514,1.226524,9.485043757
515,1.149866,9.88927517
516,1.073208,10.21751333
517,0.9965504,10.54274828
518,0.9198927,10.89831498
519,0.8623993,11.30136119
520,0.8240706,11.76877683
521,0.7857417,12.16530301
522,0.7282484,12.56532939
523,0.7090839,12.93424856
