Wavelength,Excitation,Emission
300,42.36777075,0
301,41.92929574,0
302,41.51821917,0
303,41.1071569,0
304,40.61387073,0
305,40.12058456,0
306,39.70950799,0
307,39.24362025,0
308,38.85995641,0
309,38.47629256,0
310,38.03781756,0
311,37.73636331,0
312,37.43490906,0
313,37.05124522,0
314,36.74979097,0
315,36.47574946,0
316,36.17429521,0
317,35.87284096,0
318,35.62619788,0
319,35.35214206,0
320,35.13291171,0
321,34.99589095,0
322,34.80405903,0
323,34.6944367,0
324,34.6944367,0
325,34.7766463,0
326,34.7766463,0
327,34.85887019,0
328,35.13291171,0
329,35.35214206,0
330,35.59878515,0
331,35.92765212,0
332,36.11948405,0
333,36.39352556,0
334,36.74979097,0
335,36.99643406,0
336,37.27048987,0
337,37.57192982,0
338,37.8185729,0
339,37.95560796,0
340,37.95560796,0
341,38.03781756,0
342,38.09262872,0
343,38.09262872,0
344,38.03781756,0
345,38.03781756,0
346,37.92819523,0
347,37.70896488,0
348,37.51711866,0
349,37.2978883,0
350,37.02384679,0
351,36.69497981,0
352,36.20169364,0
353,35.84542823,0
354,35.43436596,0
355,34.83145746,0
356,34.36558402,0
357,33.81748669,0
358,33.05014471,0
359,32.44725051,0
360,31.87174045,0
361,31.15922393,0
362,30.50150427,0
363,29.9260085,0
364,29.13126809,0
365,28.52835959,0
366,27.89805267,0
367,27.15812341,0
368,26.58262765,0
369,26.00711759,0
370,25.26720263,0
371,24.77391646,0
372,24.2806303,0
373,23.70512023,0
374,23.26664523,0
375,22.85558295,0
376,22.47190481,0
377,22.25267446,0
378,21.97861864,0
379,21.67716439,0
380,21.54014364,0
381,21.43052131,0
382,21.26610212,0
383,21.21129096,0
384,21.18387823,0
385,21.21129096,0
386,21.26610212,0
387,21.34831171,0
388,21.48533247,0
389,21.67716439,0
390,21.89640905,0
391,22.22526173,0
392,22.49931754,0
393,22.80077179,0
394,23.26664523,0
395,23.6777218,0
396,24.14359524,0
397,24.85612606,0
398,25.34941223,0
399,25.92490799,0
400,26.77445957,0
401,27.37736807,0
402,28.06248616,0
403,29.07645693,0
404,29.87119734,0
405,30.69333619,0
406,31.98136277,0
407,32.91312395,0
408,33.84488512,0
409,35.13291171,0
410,36.09207131,0
411,37.07864365,0
412,38.47629256,0
413,39.49026333,0
414,40.53164683,0
415,41.95669418,0
416,42.97067925,0
417,44.06685961,0
418,45.46450852,0
419,46.56070318,0
420,47.68429628,0
421,49.13674205,0
422,50.26034945,0
423,51.43875371,0
424,53.00082181,0
425,54.17922607,0
426,55.35763033,0
427,56.94711116,0
428,58.15291385,0
429,59.38612927,0
430,61.00300854,0
431,62.26363669,0
432,63.57906171,0
433,65.2233537,0
434,66.45656912,0
435,67.71718298,0
436,69.27925108,0
437,70.5124665,0
438,71.82790582,0
439,73.49959624,0
440,74.70539894,0
441,75.99342552,0
442,77.66511595,0
443,78.89833137,0
444,80.18635795,0
445,81.69361489,0
446,82.84460642,0
447,83.99561225,0
448,85.39326116,0
449,86.43463036,0
450,87.47601386,0
451,88.68183085,0
452,89.55878086,0
453,90.49054204,0
454,91.5867224,0
455,92.38146282,0
456,93.1488048,0
457,94.08058027,0
458,94.7930825,0
459,95.42340372,0
460,96.19073141,0
461,96.76624147,0
462,97.25951334,0
463,97.86243614,0
464,98.30089684,0
465,98.68457498,0
466,99.12304999,0
467,99.36969307,0
468,99.58893773,0
469,99.83556651,0
470,99.94518884,0
471,100,0
472,100,0
473,99.94518884,0
474,99.86296494,0
475,99.72594418,0
476,99.56151069,0
477,99.31488191,0
478,98.9586165,0
479,98.62976382,0
480,98.24608568,0.298983435
481,97.72538678,0.287751662
482,97.28692607,0.29527703
483,96.8758495,0.307871114
484,96.24554257,0.333981193
485,95.69745954,0.340156384
486,95.12194948,0.361016395
487,94.38202022,0.389104646
488,93.7517133,0.425935463
489,93.12140637,0.457351834
490,92.27184049,0.478161382
491,91.53192554,0.528484546
492,90.81940901,0.557476816
493,89.88763354,0.594992881
494,89.09290742,0.647843581
495,88.27075428,0.700092584
496,87.25678351,0.746082247
497,86.3798192,0.785287439
498,85.53028192,0.82618186
499,84.37929039,0.890752187
500,83.42010218,0.944564378
501,82.48835531,0.967352781
502,81.22774146,1.016943277
503,80.21375639,1.052601361
504,79.22718405,1.093579152
505,77.93915746,1.157933356
506,76.89777396,1.185360255
507,75.91121593,1.228149585
508,74.56837818,1.292489571
509,73.52699468,1.29855701
510,72.48561118,1.358458486
511,71.06056383,1.383678162
512,69.96436917,1.438394203
513,68.89558724,1.461992491
514,67.3883303,1.506196801
515,66.23732447,1.567591443
516,65.14112981,1.632855563
517,63.68868403,1.677811933
518,62.56509094,1.765114279
519,61.46889627,1.824192789
520,60.07124736,1.901220994
521,58.975067,1.973628473
